city,Tree Species,city_count,state,state_count
Adair,American basswood,9,Colorado,106
Adair,American basswood,9,Iowa,172
Adair,American basswood,9,Kansas,14
Adair,American basswood,9,Michigan,100
Adair,American basswood,9,New Mexico,1
Adair,American basswood,9,Ohio,508
Adair,American basswood,9,Virginia,1
Adair,American basswood,9,Wisconsin,2931
Adel,American basswood,6,Colorado,106
Adel,American basswood,6,Iowa,172
Adel,American basswood,6,Kansas,14
Adel,American basswood,6,Michigan,100
Adel,American basswood,6,New Mexico,1
Adel,American basswood,6,Ohio,508
Adel,American basswood,6,Virginia,1
Adel,American basswood,6,Wisconsin,2931
Albuquerque,American basswood,1,Colorado,106
Albuquerque,American basswood,1,Iowa,172
Albuquerque,American basswood,1,Kansas,14
Albuquerque,American basswood,1,Michigan,100
Albuquerque,American basswood,1,New Mexico,1
Albuquerque,American basswood,1,Ohio,508
Albuquerque,American basswood,1,Virginia,1
Albuquerque,American basswood,1,Wisconsin,2931
Bayard,American basswood,3,Colorado,106
Bayard,American basswood,3,Iowa,172
Bayard,American basswood,3,Kansas,14
Bayard,American basswood,3,Michigan,100
Bayard,American basswood,3,New Mexico,1
Bayard,American basswood,3,Ohio,508
Bayard,American basswood,3,Virginia,1
Bayard,American basswood,3,Wisconsin,2931
Carlisle,American basswood,15,Colorado,106
Carlisle,American basswood,15,Iowa,172
Carlisle,American basswood,15,Kansas,14
Carlisle,American basswood,15,Michigan,100
Carlisle,American basswood,15,New Mexico,1
Carlisle,American basswood,15,Ohio,508
Carlisle,American basswood,15,Virginia,1
Carlisle,American basswood,15,Wisconsin,2931
Colorado Springs,American basswood,106,Colorado,106
Colorado Springs,American basswood,106,Iowa,172
Colorado Springs,American basswood,106,Kansas,14
Colorado Springs,American basswood,106,Michigan,100
Colorado Springs,American basswood,106,New Mexico,1
Colorado Springs,American basswood,106,Ohio,508
Colorado Springs,American basswood,106,Virginia,1
Colorado Springs,American basswood,106,Wisconsin,2931
Columbus,American basswood,508,Colorado,106
Columbus,American basswood,508,Iowa,172
Columbus,American basswood,508,Kansas,14
Columbus,American basswood,508,Michigan,100
Columbus,American basswood,508,New Mexico,1
Columbus,American basswood,508,Ohio,508
Columbus,American basswood,508,Virginia,1
Columbus,American basswood,508,Wisconsin,2931
Coon Rapids,American basswood,13,Colorado,106
Coon Rapids,American basswood,13,Iowa,172
Coon Rapids,American basswood,13,Kansas,14
Coon Rapids,American basswood,13,Michigan,100
Coon Rapids,American basswood,13,New Mexico,1
Coon Rapids,American basswood,13,Ohio,508
Coon Rapids,American basswood,13,Virginia,1
Coon Rapids,American basswood,13,Wisconsin,2931
Dallas Center,American basswood,11,Colorado,106
Dallas Center,American basswood,11,Iowa,172
Dallas Center,American basswood,11,Kansas,14
Dallas Center,American basswood,11,Michigan,100
Dallas Center,American basswood,11,New Mexico,1
Dallas Center,American basswood,11,Ohio,508
Dallas Center,American basswood,11,Virginia,1
Dallas Center,American basswood,11,Wisconsin,2931
De Soto,American basswood,1,Colorado,106
De Soto,American basswood,1,Iowa,172
De Soto,American basswood,1,Kansas,14
De Soto,American basswood,1,Michigan,100
De Soto,American basswood,1,New Mexico,1
De Soto,American basswood,1,Ohio,508
De Soto,American basswood,1,Virginia,1
De Soto,American basswood,1,Wisconsin,2931
Detroit,American basswood,99,Colorado,106
Detroit,American basswood,99,Iowa,172
Detroit,American basswood,99,Kansas,14
Detroit,American basswood,99,Michigan,100
Detroit,American basswood,99,New Mexico,1
Detroit,American basswood,99,Ohio,508
Detroit,American basswood,99,Virginia,1
Detroit,American basswood,99,Wisconsin,2931
Dexter,American basswood,5,Colorado,106
Dexter,American basswood,5,Iowa,172
Dexter,American basswood,5,Kansas,14
Dexter,American basswood,5,Michigan,100
Dexter,American basswood,5,New Mexico,1
Dexter,American basswood,5,Ohio,508
Dexter,American basswood,5,Virginia,1
Dexter,American basswood,5,Wisconsin,2931
Earlham,American basswood,1,Colorado,106
Earlham,American basswood,1,Iowa,172
Earlham,American basswood,1,Kansas,14
Earlham,American basswood,1,Michigan,100
Earlham,American basswood,1,New Mexico,1
Earlham,American basswood,1,Ohio,508
Earlham,American basswood,1,Virginia,1
Earlham,American basswood,1,Wisconsin,2931
Elkhart,American basswood,2,Colorado,106
Elkhart,American basswood,2,Iowa,172
Elkhart,American basswood,2,Kansas,14
Elkhart,American basswood,2,Michigan,100
Elkhart,American basswood,2,New Mexico,1
Elkhart,American basswood,2,Ohio,508
Elkhart,American basswood,2,Virginia,1
Elkhart,American basswood,2,Wisconsin,2931
Grand Rapids,American basswood,1,Colorado,106
Grand Rapids,American basswood,1,Iowa,172
Grand Rapids,American basswood,1,Kansas,14
Grand Rapids,American basswood,1,Michigan,100
Grand Rapids,American basswood,1,New Mexico,1
Grand Rapids,American basswood,1,Ohio,508
Grand Rapids,American basswood,1,Virginia,1
Grand Rapids,American basswood,1,Wisconsin,2931
Granger,American basswood,1,Colorado,106
Granger,American basswood,1,Iowa,172
Granger,American basswood,1,Kansas,14
Granger,American basswood,1,Michigan,100
Granger,American basswood,1,New Mexico,1
Granger,American basswood,1,Ohio,508
Granger,American basswood,1,Virginia,1
Granger,American basswood,1,Wisconsin,2931
Guthrie Center,American basswood,2,Colorado,106
Guthrie Center,American basswood,2,Iowa,172
Guthrie Center,American basswood,2,Kansas,14
Guthrie Center,American basswood,2,Michigan,100
